Order Id,Order Item Id,order date (DateOrders),shipping date (DateOrders),Days for shipping (real),Days for shipment (scheduled),Delivery Status,Late_delivery_risk,Order Status,Shipping Mode,Customer Id,Customer Segment,Market,Order Region,Order Country,Category Name,Product Name,Product Price,Order Item Quantity,Order Item Discount,Sales,Order Item Total,Order Profit Per Order,Benefit per order
5625,1,05/10/2017 00:00,05/11/2017 00:00,1,2,Late delivery,0,CLOSED,Standard Class,4338,Consumer,Africa,West Africa,SampleLand,Camping & Hiking,Sample Product,370.69,5,205.95,1853.45,1647.5,-86.87,449.55
57254,2,05/10/2016 00:00,05/16/2016 00:00,6,4,Advance shipping,1,PROCESSING,Standard Class,3497,Consumer,Europe,Oceania,SampleLand,Camping & Hiking,Sample Product,49.38,3,22.13,148.14,126.01,-4.88,29.0
31417,3,07/15/2017 00:00,07/19/2017 00:00,4,4,Late delivery,0,PENDING_PAYMENT,Standard Class,115,Corporate,LATAM,US Center,SampleLand,Cardio Equipment,Sample Product,128.93,4,3.17,515.72,512.55,90.3,148.39
59427,4,02/17/2017 00:00,02/21/2017 00:00,4,2,Shipping on time,1,ON_HOLD,Second Class,1450,Consumer,USCA,South America,SampleLand,Electronics,Sample Product,444.09,5,81.57,2220.45,2138.88,468.32,698.32
24909,5,05/03/2015 00:00,05/05/2015 00:00,2,1,Late delivery,1,COMPLETE,Standard Class,2282,Consumer,Africa,Central America,SampleLand,Cleats,Sample Product,292.69,1,26.24,292.69,266.45,63.77,41.0
49990,6,11/07/2017 00:00,11/11/2017 00:00,4,4,Shipping on time,0,ON_HOLD,First Class,1289,Corporate,LATAM,US Center,SampleLand,Water Sports,Sample Product,32.83,1,2.04,32.83,30.79,4.11,7.25
19853,7,04/29/2017 00:00,05/04/2017 00:00,5,4,Late delivery,1,PENDING_PAYMENT,First Class,11399,Corporate,LATAM,Oceania,SampleLand,Women's Apparel,Sample Product,355.08,5,169.79,1775.4,1605.61,273.23,193.57
26633,8,05/20/2017 00:00,05/23/2017 00:00,3,4,Late delivery,0,PROCESSING,Standard Class,113,Corporate,Europe,Central America,SampleLand,Women's Apparel,Sample Product,258.27,3,68.15,774.81,706.66,239.24,179.22
20810,9,05/31/2015 00:00,06/06/2015 00:00,6,4,Late delivery,1,PROCESSING,Second Class,4665,Consumer,USCA,Western Europe,SampleLand,Camping & Hiking,Sample Product,428.72,4,202.7,1714.88,1512.18,85.75,214.01
32845,10,05/20/2016 00:00,05/24/2016 00:00,4,4,Advance shipping,0,PENDING_PAYMENT,Standard Class,11740,Corporate,Pacific Asia,Southeast Asia,SampleLand,Indoor/Outdoor Games,Sample Product,344.39,2,7.33,688.78,681.45,-2.47,157.65
13401,11,03/01/2016 00:00,03/03/2016 00:00,2,2,Shipping on time,0,CLOSED,Standard Class,1411,Consumer,Pacific Asia,Southeast Asia,SampleLand,Water Sports,Sample Product,12.18,5,4.03,60.9,56.87,19.11,1.35
