issue,key,detail,severity,route_to
cost_spike,176420,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,176512,billed 4.3x catalog-expected amount,critical,Finance Ops
cost_spike,61144,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,31373,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,44994,billed 4.2x catalog-expected amount,critical,Finance Ops
cost_spike,179137,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,150764,billed 3.5x catalog-expected amount,critical,Finance Ops
cost_spike,3704,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,168383,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,48611,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,73113,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,173382,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,73346,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,64674,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,38368,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,148045,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,128655,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,174947,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,62468,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,13449,billed 3.2x catalog-expected amount,critical,Finance Ops
cost_spike,36113,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,120199,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,83553,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,25490,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,103051,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,48611,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,71781,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,170601,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,119618,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,109579,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,57385,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,172793,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,26719,billed 2.6x catalog-expected amount,critical,Finance Ops
cost_spike,172116,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,116121,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,45943,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,41605,billed 5.0x catalog-expected amount,critical,Finance Ops
cost_spike,117144,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,16328,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,66748,billed 4.5x catalog-expected amount,critical,Finance Ops
cost_spike,51641,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,130783,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,136410,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,151323,billed 3.8x catalog-expected amount,critical,Finance Ops
cost_spike,37489,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,95212,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,80244,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,4757,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,178970,billed 2.8x catalog-expected amount,critical,Finance Ops
cost_spike,19240,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,151741,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,43617,billed 3.9x catalog-expected amount,critical,Finance Ops
cost_spike,33387,billed 3.4x catalog-expected amount,critical,Finance Ops
cost_spike,50093,billed 3.7x catalog-expected amount,critical,Finance Ops
cost_spike,159864,billed 3.0x catalog-expected amount,critical,Finance Ops
cost_spike,154065,billed 4.4x catalog-expected amount,critical,Finance Ops
cost_spike,28187,billed 4.6x catalog-expected amount,critical,Finance Ops
cost_spike,15179,billed 4.9x catalog-expected amount,critical,Finance Ops
cost_spike,35838,billed 2.9x catalog-expected amount,critical,Finance Ops
cost_spike,119718,billed 4.1x catalog-expected amount,critical,Finance Ops
cost_spike,64186,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,73816,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,5992,billed 2.5x catalog-expected amount,critical,Finance Ops
cost_spike,35205,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,37687,billed 3.3x catalog-expected amount,critical,Finance Ops
cost_spike,110509,billed 3.1x catalog-expected amount,critical,Finance Ops
cost_spike,16099,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,139989,billed 4.8x catalog-expected amount,critical,Finance Ops
cost_spike,110755,billed 4.7x catalog-expected amount,critical,Finance Ops
cost_spike,115869,billed 2.7x catalog-expected amount,critical,Finance Ops
cost_spike,81782,billed 3.6x catalog-expected amount,critical,Finance Ops
cost_spike,155651,billed 4.0x catalog-expected amount,critical,Finance Ops
cost_spike,38252,billed 4.8x catalog-expected amount,critical,Finance Ops
